U32432|ULA243
U32404|UMA240
U32322|UHP232
U32086|XAR208
U32062|UBI206
U32014|UBI201
U31958|ULA195
U31661|UBI166
U25616|USA561
U25502|XCO550
U25235|UZC097
U25127|UZS509
U25118|UZS509
U25030|UZM429
U25024|UCO502
U20305|USA030
U20285|XSA028
U24936|UZS493
U24857|UZO503
U24779|UZU513
U24689|UZU510
U24621|USA462
U20196|USA019
U19122|UTA912
U26810|UZS024
U26801|UZL283
U26761|USA676
U26677|XZC123
U26671|USA667
U26640|UZM993
U26456|XAS666
U26435|UHP146
U26405|UGD336
U26313|USA631
U26304|UCO630
U20115|USA011
U20082|XSA008
U25986|UCO598
U25953|URM465
U25952|URM465
U25906|UCO590
U25721|USA572
U28591|UZE200
U28488|UAI552
U28475|UZA112
U28236|XVA823
U28182|USA818
U28090|UAM855
U27960|UAM764
U27892|USA789
U27802|UZL186
U27536|UVA753
U27487|XZB747
U27421|UVA742
U27290|UAM760
U27253|UOH725
U27208|UDP629
U29614|UOH961
U29437|UZS212
U21571|USA157
U21521|USA152
U21446|USA144
U21442|USA144
U21362|USA136
U21361|USA136
U21034|USA103
U20820|UZB583
U20791|USA079
U20722|USA072
U20699|UZL533
U20683|UVA068
U20664|XVA066
U20564|USA056
U19291|UAN929
U24405|UDF951
U24391|USA439
U24373|UHM039
U24311|UHM038
U24231|USA423
U24124|USA412
U24105|USA410
U24085|XSA408
U24064|UND048
U23842|USA384
U23786|USA378
U23763|USA376
U23457|UZB542
U23388|UZB511
U23309|UZB560
U23241|USA324
U23021|XCO302
U22979|UZB517
U22849|UZB522
U22675|USA267
U22650|UZM436
U22633|USA263
U22594|UZL323
U22299|UGA267
U19046|UZU045
U21841|UVA184
U21831|USA183
U21742|USA174
U21725|USA172
U21698|UHM028
U18936|UAN893
U18935|UAN893
U18782|UZM908
U18739|UDM706
U18630|UAM757
U18621|UHC778
U18616|UDM584
U18434|UZB355
U18372|UZE117
U10588|UZM208
U18053|UDE939
U17997|UDM255
U17761|UHF307
U17615|UGD308
U17521|UFN752
U17189|XZL586
U17038|UFN351
U16933|UFN693
U16922|UFN692
U16913|UFN691
U16692|XFN669
U16611|XFN661
U16552|UFN655
U15954|UTA595
U15913|UFN591
U10749|UGC786
U15763|UFN576
U15721|UFN572
U15683|UFN568
U15678|UZV014
U15665|UAN566
U15610|UZM394
U15486|UAN548
U15319|XZS001
U15267|UZP007
U15217|XZO007
U15141|UFN514
U15098|UZL019
U14971|UFN497
U14688|UZE048
U14664|UFN466
U19869|UZL530
U19824|UDD982
U19810|UZL111
U19588|UZS029
U19471|UZB359
U11781|UAN178
U11779|UHP611
U11753|UAN175
U11635|UAN163
U11617|UHN324
U11545|UGD339
U11365|UAT136
U11364|UAT136
U10003|UDE080
U11251|UAT125
U11208|XZM196
U10957|UHF257
U10895|UTA089
U10893|UTA089
U10861|UTA086
U09938|UGA435
U09849|UGA794
U14633|XAN463
U14594|UTA459
U14335|XFN433
U14331|XFN433
U14309|UZB033
U14211|UFN421
U14083|UFN408
U14077|XZB001
U14068|UGC184
U13965|XFN396
U13912|UFN391
U13791|UFN379
U13602|UFN360
U13466|UDO701
U09891|UZB401
U13332|UFN333
U12956|XAT295
U09825|UGE982
U12672|UHF628
U12657|UZE025
U12588|UZE001
U12582|UTA258
U12528|UAN274
U12458|UZB066
U12419|XZB042
U12407|UHF119
U12401|UAN240
U12379|UZB038
U09784|UDI491
U12348|UZB033
U12254|UTA225
U12103|XAN210
U12060|UAM660
U09639|UGA718
U09583|UGE958
U09567|UTS272
U03306|UHK959
U09218|UGE883
U09157|UGD313
U09142|XZM122
U09132|UGA913
U09118|UGD318
U09011|UZL235
U08992|UGA899
U08869|UHH852
U08841|UGE884
U03258|UDL321
U08738|UHF653
U08717|UHF349
U08705|UNE870
U08702|UNE870
U08566|UHP856
U08484|UGE848
U08483|UGE848
U08360|NI
U03534|UHH583
U08318|UHJ242
U08273|UHH827
U08238|UHJ080
U08043|UGA804
U08013|UGE801
U07924|UGA792
U07814|UHP781
U07779|UHC169
U07756|UGA775
U07703|UDL770
U07659|UDO444
U07649|UHP969
U07474|UDI747
U07462|UHH746
U07074|UHH707
U03412|UGA341
U02694|UHH269
U06823|UDD682
U06755|UHF347
U06671|UGA667
U06533|UGE894
U10401|UTA040
U10378|UHM000
U10347|ULA562
U10281|UAN028
U10131|UDK528
U10100|UAM152
U10075|UAN007
U04292|UNE429
U04241|UGA424
U04121|UHF094
U04106|UGA410
U04070|UZM857
U04055|UGE405
U04015|UHP405
U03886|UHH930
U03837|UTN206
U03707|UHN077
U03668|UHN078
U03605|UHF360
U02721|UDM272
U06456|UGE645
U06419|UHK450
U06391|UGE639
U06374|UGE869
U06332|UGE633
U06313|UGA631
U06159|UHF289
U06024|UGA602
U05836|UGA583
U05778|UTS182
U02652|UHO383
U05664|UGE611
U05602|UGA560
U05481|UDM548
U05406|UDL540
U05368|UTS138
U05319|UZU166
U05299|UDO719
U05034|UGD386
U02553|UGA255
U02534|UGA253
U04712|UZM176
U04675|UHC351
U04661|UHP195
U04573|UHK088
U04564|UHN177
U04551|UGA455
U04513|UGA451
U04507|UHH603
U04474|UHA624
U04448|UHH047
U04446|UHA594
U02486|UHH706
U02386|UDM012
U02158|UDG079
P43562|MZL189
U01926|UGA192
U01911|UGA191
U01877|UTN136
U01820|UAM443
U01769|UDM250
U01764|UGA176
U01716|UGA171
U01712|UGA171
P43349|MZV777
P43322|MVR709
P43288|MRS328
U01572|UHK157
U01550|UZB076
U01455|UGD145
U01433|UGA143
U01419|UTN063
U01304|UGA130
U01297|UDM463
U01199|UDI754
U01060|UAM663
U01035|UDD103
U00993|UGA099
U00945|UGA094
U00911|UGA091
U00861|UGA086
P43905|XAS233
U00772|UGA077
U00751|UGA075
U00688|UST178
U00672|UDD210
U00625|UDD207
U00568|UGA557
U00488|UGE161
U00468|UGE160
U00354|UGA035
U00344|UGA034
U00328|UGA548
U00245|UHL034
